id,title,phone,address,rating
5198,bmstu.bd.lab.lab_01.model.Teacher@fb937ac,bmstu.bd.lab.lab_01.model.Group@6ad8bd26
5199,bmstu.bd.lab.lab_01.model.Teacher@28db5f0e,bmstu.bd.lab.lab_01.model.Group@6ad8bd26
5200,bmstu.bd.lab.lab_01.model.Teacher@7d04f708,bmstu.bd.lab.lab_01.model.Group@6ad8bd26
5201,bmstu.bd.lab.lab_01.model.Teacher@7a693c64,bmstu.bd.lab.lab_01.model.Group@6ad8bd26
5202,bmstu.bd.lab.lab_01.model.Teacher@4f260eb,bmstu.bd.lab.lab_01.model.Group@3f105469
5203,bmstu.bd.lab.lab_01.model.Teacher@2ec7d191,bmstu.bd.lab.lab_01.model.Group@3f105469
5204,bmstu.bd.lab.lab_01.model.Teacher@25fe61ee,bmstu.bd.lab.lab_01.model.Group@3f105469
5205,bmstu.bd.lab.lab_01.model.Teacher@2408408c,bmstu.bd.lab.lab_01.model.Group@3f105469
5206,bmstu.bd.lab.lab_01.model.Teacher@6bdd48aa,bmstu.bd.lab.lab_01.model.Group@1f1ea59b
5207,bmstu.bd.lab.lab_01.model.Teacher@5db06b,bmstu.bd.lab.lab_01.model.Group@1f1ea59b
5208,bmstu.bd.lab.lab_01.model.Teacher@36358d9a,bmstu.bd.lab.lab_01.model.Group@1f1ea59b
5209,bmstu.bd.lab.lab_01.model.Teacher@8c5cb04,bmstu.bd.lab.lab_01.model.Group@1f1ea59b
5210,bmstu.bd.lab.lab_01.model.Teacher@4d4e5727,bmstu.bd.lab.lab_01.model.Group@7b9989ef
5211,bmstu.bd.lab.lab_01.model.Teacher@73da546,bmstu.bd.lab.lab_01.model.Group@7b9989ef
5212,bmstu.bd.lab.lab_01.model.Teacher@372869da,bmstu.bd.lab.lab_01.model.Group@7b9989ef
5213,bmstu.bd.lab.lab_01.model.Teacher@6bdd48aa,bmstu.bd.lab.lab_01.model.Group@7b9989ef
5214,bmstu.bd.lab.lab_01.model.Teacher@65e43235,bmstu.bd.lab.lab_01.model.Group@432233a5
5215,bmstu.bd.lab.lab_01.model.Teacher@a602915,bmstu.bd.lab.lab_01.model.Group@432233a5
5216,bmstu.bd.lab.lab_01.model.Teacher@3218932,bmstu.bd.lab.lab_01.model.Group@432233a5
5217,bmstu.bd.lab.lab_01.model.Teacher@7743bd90,bmstu.bd.lab.lab_01.model.Group@432233a5
5218,bmstu.bd.lab.lab_01.model.Teacher@3d14f62a,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5219,bmstu.bd.lab.lab_01.model.Teacher@5db06b,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5220,bmstu.bd.lab.lab_01.model.Teacher@60939b19,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5221,bmstu.bd.lab.lab_01.model.Teacher@6a6edd54,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5222,bmstu.bd.lab.lab_01.model.Teacher@5b8a89c5,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5223,bmstu.bd.lab.lab_01.model.Teacher@63034d16,bmstu.bd.lab.lab_01.model.Group@7964ab5a
5224,bmstu.bd.lab.lab_01.model.Teacher@23212586,bmstu.bd.lab.lab_01.model.Group@39af6c28
5225,bmstu.bd.lab.lab_01.model.Teacher@5fc8d043,bmstu.bd.lab.lab_01.model.Group@39af6c28
5226,bmstu.bd.lab.lab_01.model.Teacher@3b9894c4,bmstu.bd.lab.lab_01.model.Group@39af6c28
